experiment_id,timestamp,config_name,prompt,system_prompt,response,model,model_id,config_weighting,config_prompting,prompt_id,weighted_words_enabled,weight_factor,enable_thinking,temperature,response_time_seconds,flesch_kincaid_grade,gunning_fog,smog_index,spache_readability,word_count,difficult_words,automated_readability_index,coleman_liau_index,dale_chall_readability_score,flesch_reading_ease,linsear_write_formula,mcalpine_eflaw,sentence_count,character_count,syllable_count,polysyllable_count,monosyllable_count,reading_time_seconds,reading_time_minutes,cleaned_response,response_appropriateness,vocabulary_level,notes
b9adf15b-b0fc-4667-adaf-71ad3f8b3aa5,2025-10-06T21:11:53.016489,Phi3_weighted_1_5,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,"The word 'library' refers to a place where a collection of books, magazines, and other informational materials are kept for people to read, borrow, or use for research and study. Libraries can be found in many types of institutions such as schools, universities, and public buildings. They serve as a valuable resource for knowledge and information, often organized in a systematic and accessible manner to facilitate easy access to the materials they house. In modern times, libraries have also become digital hubs, where electronic resources are available for users to access from their personal devices.",Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,True,False,P1,True,1.5,False,0.7,4.8662331104278564,15.04,17.92,16.53,6.9,95,28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.52,0.13,"The word 'library' refers to a place where a collection of books, magazines, and other informational materials are kept for people to read, borrow, or use for research and study. Libraries can be found in many types of institutions such as schools, universities, and public buildings. They serve as a valuable resource for knowledge and information, often organized in a systematic and accessible manner to facilitate easy access to the materials they house. In modern times, libraries have also become digital hubs, where electronic resources are available for users to access from their personal devices.",,,
82ed4520-85bb-4bd8-be0b-9ada818743ad,2025-10-06T21:11:57.426355,Phi3_weighted_2_0,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,"The word 'library' refers to a place where a collection of books, periodicals, and other materials like maps and records are kept for people to read, study, and borrow. Libraries can be public or private and may also house digital and multimedia resources. They play a putative role in providing access to information, fostering a love for reading and learning, and supporting educational and research activities. Additionally, many libraries offer various programs and services to the community, such as storytelling for children, computer and internet access, and workshops on a wide range of subjects.",Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,True,False,P1,True,2.0,False,0.7,4.2409141063690186,15.29,18.76,16.83,7.08,94,31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.51,0.13,"The word 'library' refers to a place where a collection of books, periodicals, and other materials like maps and records are kept for people to read, study, and borrow. Libraries can be public or private and may also house digital and multimedia resources. They play a putative role in providing access to information, fostering a love for reading and learning, and supporting educational and research activities. Additionally, many libraries offer various programs and services to the community, such as storytelling for children, computer and internet access, and workshops on a wide range of subjects.",,,
2b33322c-fa78-408f-95ed-c5cb69703de7,2025-10-06T21:12:02.007476,Phi3_weighted_4_0,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,"A library is a place where a collection of books and other informational resources like magazines, newspapers, and digital media like e-books and online databases are stored and made available for people to read and learn from. Libraries may be part of a school or a stand-alone establishment open to the public in a community for the purpose of lending and borrowing these resources or for people to read and learn in a quiet and well-organized environment. They play a critical role in the dissemination of knowledge and the promotion of literacy and lifelong learning in a society.",Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,True,False,P1,True,4.0,False,0.7,4.253961086273193,17.14,21.64,18.6,7.9,98,27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.15,0.12,"A library is a place where a collection of books and other informational resources like magazines, newspapers, and digital media like e-books and online databases are stored and made available for people to read and learn from. Libraries may be part of a school or a stand-alone establishment open to the public in a community for the purpose of lending and borrowing these resources or for people to read and learn in a quiet and well-organized environment. They play a critical role in the dissemination of knowledge and the promotion of literacy and lifelong learning in a society.",,,
2f02bfe9-aa86-4f7b-81f0-3a02a27029e6,2025-10-06T21:12:23.529901,Qwen2_weighted_1_5,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,"The word 'library' generally refers to a collection of books, periodicals, and other materials for reading, borrowing, and displaying. It is a place of instruction, learning, and access to a wide range of knowledge, often housed in buildings or libraries. Libraries are often used to support education, research, and cultural activities.",Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,True,False,P1,True,1.5,False,0.7,6.916522979736328,12.79,16.21,15.02,6.44,51,19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.22,0.07,"The word 'library' generally refers to a collection of books, periodicals, and other materials for reading, borrowing, and displaying. It is a place of instruction, learning, and access to a wide range of knowledge, often housed in buildings or libraries. Libraries are often used to support education, research, and cultural activities.",,,
7bd0acd3-6cfe-46f0-92b3-da54d75489cd,2025-10-06T21:12:25.158075,Qwen2_weighted_2_0,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,"The word 'library' generally refers to a collection of books, journals, and other reading materials, often housed in a structured facility. It is a place for learning, reading, and research, providing access to a vast array of knowledge. Libraries are typically used by students, teachers, and adults to study, research, and access information, making them a vital resource for education and personal growth. Libraries also serve as a social gathering place, where community members can meet, discuss, and share books, literature, and other resources.",Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,True,False,P1,True,2.0,False,0.7,1.3782000541687012,13.53,15.54,14.55,7.18,84,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6.87,0.11,"The word 'library' generally refers to a collection of books, journals, and other reading materials, often housed in a structured facility. It is a place for learning, reading, and research, providing access to a vast array of knowledge. Libraries are typically used by students, teachers, and adults to study, research, and access information, making them a vital resource for education and personal growth. Libraries also serve as a social gathering place, where community members can meet, discuss, and share books, literature, and other resources.",,,
4406dae4-4dce-4a41-a899-569ea81459b1,2025-10-06T21:12:26.399420,Qwen2_weighted_4_0,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,"The word 'library' can refer to a collection of books, newspapers, magazines, and other printed materials, often organized, cataloged, and maintained for public use. It's a place where a library's books, collections, and resources are housed, displayed, and accessible. Libraries are typically open, educational, and, sometimes, cultural centers, providing access to a wide range of information, learning, and entertainment.",Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,True,False,P1,True,4.0,False,0.7,1.100794792175293,14.68,19.39,17.12,7.11,59,24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.38,0.09,"The word 'library' can refer to a collection of books, newspapers, magazines, and other printed materials, often organized, cataloged, and maintained for public use. It's a place where a library's books, collections, and resources are housed, displayed, and accessible. Libraries are typically open, educational, and, sometimes, cultural centers, providing access to a wide range of information, learning, and entertainment.",,,
a8a2fde2-2b58-48f1-b3b3-883b0db1bd5b,2025-10-06T21:17:34.884468,Qwen3_weighted_1_5,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,True,False,P1,True,1.5,False,0.7,302.23226714134216,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,
b7e9136d-f7e0-4a6b-9e7e-c639a5f87c92,2025-10-06T21:22:35.826714,Qwen3_weighted_2_0,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,True,False,P1,True,2.0,False,0.7,300.51496505737305,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,
279abee9-dc94-4b7d-924e-ccc7ca8d3ce5,2025-10-06T21:25:59.381540,Qwen3_weighted_4_0,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,"The word ""library"" means a place, often a physical space, where books, magazines, and other materials are",Qwen3,ggml-org/Qwen3-0.6B-GGUF,True,False,P1,True,4.0,False,0.7,202.50183701515198,10.48,13.86,14.55,4.75,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.31,0.02,"The word ""library"" means a place, often a physical space, where books, magazines, and other materials are",,,
2aa8b0e2-2c6a-45df-8e3b-e25cc7a06027,2025-10-06T21:45:45.286670,SmolLM_weighted_1_5,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,SmolLM,MaziyarPanahi/SmolLM-1.7B-Instruct-GGUF,True,False,P1,True,1.5,False,0.7,1181.8185541629791,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,
