experiment_id,timestamp,config_name,prompt,system_prompt,response,model,model_id,config_weighting,config_prompting,prompt_id,weighted_words_enabled,weight_factor,enable_thinking,temperature,response_time_seconds,flesch_kincaid_grade,gunning_fog,smog_index,spache_readability,word_count,token_count,difficult_words,cleaned_response,beam_selection_method,beam_a1_ratio,beam_a1_count,beam_content_word_count,beam_cumulative_logprob,beam_width,response_appropriateness,vocabulary_level,notes
4b2e0b44-e1ad-40cc-8a0e-3595daba19c3,2025-11-11T19:27:31.057414,Qwen3_beam_search_a1_ratio,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,False,True,P1,False,1.5,False,0.7,0.001965045928955078,0.0,0.0,0.0,0.0,0,,0,,a1_ratio,0.0,0,0,0.0,4,,,
5e0a1905-08ef-46d0-a422-79558f592411,2025-11-11T19:27:31.058497,Qwen3_beam_search_max_probability,What does the word 'library' mean?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,False,True,P1,False,1.5,False,0.7,0.0005269050598144531,0.0,0.0,0.0,0.0,0,,0,,max_probability,0.0,0,0,0.0,4,,,
9b187bbd-fec9-4265-a7c6-bc5e725ebb08,2025-11-11T19:27:31.060822,Qwen3_beam_search_a1_ratio,How do I introduce myself in English?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,False,True,P2,False,1.5,False,0.7,0.0007922649383544922,0.0,0.0,0.0,0.0,0,,0,,a1_ratio,0.0,0,0,0.0,4,,,
0e020d92-a423-4364-a419-ae9056e4d0d0,2025-11-11T19:27:31.061744,Qwen3_beam_search_max_probability,How do I introduce myself in English?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,False,True,P2,False,1.5,False,0.7,0.00039005279541015625,0.0,0.0,0.0,0.0,0,,0,,max_probability,0.0,0,0,0.0,4,,,
6857618a-035f-4b0b-9304-bbd88dad1aa0,2025-11-11T19:27:31.062923,Qwen3_beam_search_a1_ratio,What is a dog?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,False,True,P3,False,1.5,False,0.7,0.0003256797790527344,0.0,0.0,0.0,0.0,0,,0,,a1_ratio,0.0,0,0,0.0,4,,,
c4426404-3c60-4956-8a4b-2df2a73d0916,2025-11-11T19:27:31.063700,Qwen3_beam_search_max_probability,What is a dog?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,False,True,P3,False,1.5,False,0.7,0.00030112266540527344,0.0,0.0,0.0,0.0,0,,0,,max_probability,0.0,0,0,0.0,4,,,
f0a177e5-880e-47b8-a806-346968fd6d53,2025-11-11T19:27:31.064837,Qwen3_beam_search_a1_ratio,Can you explain what 'breakfast' is?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,False,True,P4,False,1.5,False,0.7,0.00032806396484375,0.0,0.0,0.0,0.0,0,,0,,a1_ratio,0.0,0,0,0.0,4,,,
2165709d-4787-45cc-9366-683c2675e9bf,2025-11-11T19:27:31.065643,Qwen3_beam_search_max_probability,Can you explain what 'breakfast' is?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,False,True,P4,False,1.5,False,0.7,0.000293731689453125,0.0,0.0,0.0,0.0,0,,0,,max_probability,0.0,0,0,0.0,4,,,
3fe57ec0-065a-448e-9e2a-26935b17a473,2025-11-11T19:27:31.066924,Qwen3_beam_search_a1_ratio,What is the difference between 'big' and 'large'?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,False,True,P5,False,1.5,False,0.7,0.00033402442932128906,0.0,0.0,0.0,0.0,0,,0,,a1_ratio,0.0,0,0,0.0,4,,,
c8bb14e9-eb03-4dd8-83c8-a6af7c0184b4,2025-11-11T19:27:31.067668,Qwen3_beam_search_max_probability,What is the difference between 'big' and 'large'?,You are a helpful English teacher for beginner students. Answer with a paragraph only with plain text,,Qwen3,ggml-org/Qwen3-0.6B-GGUF,False,True,P5,False,1.5,False,0.7,0.0002732276916503906,0.0,0.0,0.0,0.0,0,,0,,max_probability,0.0,0,0,0.0,4,,,
